PRODUTO;CATEGORIA
'.ALWAYS PROTECAO TOTAL/NORMAL (TODOS)';ABSORVENTES
'.ALWAYS BASICO (OUTROS)';ABSORVENTES
'.A HIG_.INTIMUS(TODOS)';ABSORVENTES
'.A HIG_.SEMPRE LIVRE (TODOS)';ABSORVENTES
'SEMPRE LIVRE SLINEA S/SECA C/ABAS C/10';ABSORVENTES
'SEMPRE LIVRE NORMAL SUAVE-SECA ABAS C/10 UN';ABSORVENTES
'OE NATURALMENTE MAX NOTURNO C/ABAS LV16 PG13';ABSORVENTES
'PANVEL (MP) ESSENCIAL COB.SUAVE C/ABAS 8UN';ABSORVENTES
'CAREFREE BRISA S/PER 1A1 15UN';ABSORVENTES
'CAREFREEE ORIGINAL C/PERF (1A 1) 2PCTS.C/40UN';ABSORVENTES
'OB DUO PACK MN/MD 10';ABSORVENTES
'OB DUO PACK MD/SUPER 10';ABSORVENTES
'ELLAS BASICO SOFT NL FINOS C/ABAS 20';ABSORVENTES
'ALWAYS ACTIVE COB.SECA C/ABAS LONGO NOTURNO 8UN';ABSORVENTES
'ALWAYS ACTIVE COB.SECA C/ABAS NOTURNO LONGO 16';ABSORVENTES
'ALWAYS ACTIVE COB.SECA C/ABAS NOTURNO 32';ABSORVENTES
'OE ALWAYS ACTIVE COB.SECA C/ABAS NOTURNO LV32 PG24 32';ABSORVENTES
'ALWAYS ACTIVE COB.SECA C/ABAS NL 8';ABSORVENTES
'ALWAYS ACTIVE COB.SECA C/ABAS NL 16';ABSORVENTES
'ALWAYS ACTIVE COB.SECA C/ABAS NL 32';ABSORVENTES
'OE ALWAYS ACTIVE COB.SECA C/ABAS NL LV32 PG24 32';ABSORVENTES
'ALWAYS ACTIVE COB.SECA NL 8';ABSORVENTES
'ALWAYS ACTIVE COB.SECA NL 32';ABSORVENTES
'ALWAYS ACTIVE ULTRAFINO COB.SECA C/ABAS NOTURNO 8';ABSORVENTES
'ALWAYS ACTIVE ULTRAFINO COB.SECA NL C/ABAS 8';ABSORVENTES
'BC I.GEL SUPREME SV C/ABAS 8 +NOT.SV C/ABAS LONGO 8GTS FRASQ';ABSORVENTES
'ALWAYS PINK COB SUAVE NL 8';ABSORVENTES
'ALWAYS PINK COB.SUAVE C/ABAS NL 32';ABSORVENTES
'ALWAYS PINK COB.SUAVE C/ABAS NL 16';ABSORVENTES
'ALWAYS PINK COB.SUAVE C/ABAS NL 8';ABSORVENTES
'ITAMARATI CTL CX 6UN 5000G';ACUCAR
'ITAMARATI REF CX 10UN 1000G';ACUCAR
'LEVESUCAR CTL CX 15UN 2000G';ACUCAR
'LEVESUCAR CTL CX 6UN 5000G';ACUCAR
'MASTERCUCAR CTL 1000G';ACUCAR
'NATUS MASC CX 20UN 1000G';ACUCAR
'PADIM CTL 1000G';ACUCAR
'PICININ REF 1000G';ACUCAR
'PREMIUM REF CX 10UN 1000G';ACUCAR
'QUALITYCUCAR CTL 2000G';ACUCAR
'CRISTALSUCAR 6X5000 G';ACUCAR
'ICAPUI CRISTAL 1KG';ACUCAR
'BARATEIRO ACUCAR REFINADO 1KG';ACUCAR
'CARAVELAS REF SACHES 1000X5G 5000G';ACUCAR
'COLONIA MASCAVO 500 GR';ACUCAR
'MARIZA MASC 1000G';ACUCAR
'AMOR A VIDA MASC 500G';ACUCAR
'ATHENAS MASC 1000G';ACUCAR
'ITAJA CTL 2000G';ACUCAR
'MAIS DOCE CTL 1000G';ACUCAR
'MAIS DOCE REF 1000G';ACUCAR
'NATIVE ORGANICO CLARO SACHE 500 G';ACUCAR
'BANDEIRA BRANCA MASC 1000';ACUCAR
'OURO BOM REF 1000';ACUCAR
'BOM GOSTO CTL 1000';ACUCAR
'TIP TOP CTL 1000';ACUCAR
'PURO DOCE CTL 5000';ACUCAR
'DA CASA ACUCAR CRISTAL 2000G';ACUCAR
'MINASCUCAR CTL 1000G';ACUCAR
'NATIVA MASC 500G';ACUCAR
'COCO FRUIT S/SABOR CART 1000ML';'AGUA DE COCO'
'COCO MANIA S/SABOR PET 1000ML';'AGUA DE COCO'
'COCO FRUIT S/SABOR CART 330ML';'AGUA DE COCO'
'COCO FRUIT TANGERINA CART 1000ML';'AGUA DE COCO'
'COCO FRUIT TANGERINA CART 330ML';'AGUA DE COCO'
'SOCOCO MARACUJA CART 200ML X24';'AGUA DE COCO'
'ECKOS S/SABOR CP 300ML';'AGUA DE COCO'
'RIO S/SABOR LT 335ML';'AGUA DE COCO'
'FRUTY COCO S/SABOR GF PL 300ML';'AGUA DE COCO'
'ISO COCO S/SABOR CP PL 300ML';'AGUA DE COCO'
'PONTO DO COCO S/SABOR PET 300ML';'AGUA DE COCO'
'BE PURE S/SABOR CART 1000ML';'AGUA DE COCO'
'PURO COCO S/SABOR CART 1000ML X12';'AGUA DE COCO'
'DANFRUIT NAT GF PL 500 ML';'AGUA DE COCO'
'SU FRESH AKOKO ZERO S/SABOR LT 24X 330ML';'AGUA DE COCO'
'SU FRESH AKOKO S/SABOR CART 1000ML';'AGUA DE COCO'
'TIA ISAURA S/SABOR PET 500 ML';'AGUA DE COCO'
'AMAZON CHA BRANCO ZERO CART 250 ML';'AGUA DE COCO'
'AMAZON CHA BRANCO ZERO CART 1000 ML';'AGUA DE COCO'
'AMAZON CHA MENTA ZERO CART 250 ML';'AGUA DE COCO'
'DUCOCO ZERO S/SABOR CARTONADO 12X 330ML';'AGUA DE COCO'
'DUCOCO ZERO S/SABOR CART 12X 1000ML';'AGUA DE COCO'
'SU FRESH AKOKO S/SABOR LT 12X 330ML';'AGUA DE COCO'
'AMAZON CHA VERDE ZERO CART 250 ML';'AGUA DE COCO'
'CARINHA S/SABOR CP 300ML';'AGUA DE COCO'
'DUCOCO S/SABOR ZERO CART 200MLX3 UNID';'AGUA DE COCO'
'SOCOCO MAIS TANGERINA CART 200MLX24 UNID';'AGUA DE COCO'
'NORDESTE S/SABOR CP PL 300ML';'AGUA DE COCO'
'EXTRACOCO S/SABOR PET 230 ML';'AGUA DE COCO'
'COCO NORDESTE GF 250ML';'AGUA DE COCO'
'POUSO ALTO S/G GF PL DESC 361ML';'AGUA MINERAL'
'PERRIER C/G LT 250ML IMP';'AGUA MINERAL'
'PETRA C/G P DESC 350ML';'AGUA MINERAL'
'PETRA C/G P DESC 510ML';'AGUA MINERAL'
'PETRA S/G P DESC 350ML';'AGUA MINERAL'
'PURA S/G CP DESC 300ML';'AGUA MINERAL'
'PURA S/G P DESC 5000ML';'AGUA MINERAL'
'STA RITA S/G CP DESC 200ML';'AGUA MINERAL'
'TERESOPOLIS C/G P DESC 310ML';'AGUA MINERAL'
'TERESOPOLIS C/G P DESC 330ML';'AGUA MINERAL'
'TERESOPOLIS S/G P DESC 310ML';'AGUA MINERAL'
'TERESOPOLIS S/G P DESC 330ML';'AGUA MINERAL'
'TERRA ALTA S/G P DESC 1500ML';'AGUA MINERAL'
'TERRA ALTA S/G P DESC 350ML';'AGUA MINERAL'
'TERRA ALTA S/G P DESC 5000ML';'AGUA MINERAL'
'TERRA ALTA S/G P DESC 510ML';'AGUA MINERAL'
'TIMBU S/G GL P DESC 650ML';'AGUA MINERAL'
'VOLVIC S/G P DESC 1000ML IMP';'AGUA MINERAL'
